Gene	Stem_like	CMP_like	S100_GMP_like	GMP_like	Cycling_GMP_like	MDP_like	Bcell	Tcell	Ery_HBB
ANGEL2	5.15525586204859	5.4232779583086	0	0	0	0	0	0	0
ANGPT1	5.64278704632658	0	0	0	0	0	0	0	0
ANKFY1	5.67059910120344	5.94870225558112	6.29234245860641	7.01034577325376	5.855938690075	0	0	0	6.4971874684957
ANKH	0	0	0	0	0	0	0	0	5.61204473666577
ANKRD13A	0	5.44345681716131	0	0	5.53004707279926	6.37793792501458	6.76447237141507	0	0
ANKRD17	6.5190002177337	6.47642631372315	6.19258521222083	0	6.00855250314054	6.21539140845471	6.89756419452032	0	4.88047967554172
ANKRD35	0	0	0	0	6.03186978319305	0	0	0	0
ANKRD36	5.87424889350743	6.24853037754426	0	7.20342070058053	6.45678579148102	0	0	6.67484405788436	6.14503928610586
ANKRD39	0	0	0	0	5.57302389575474	0	0	0	0
ANKRD44	6.9759179325478	6.31633803282717	6.4281775148374	0	5.78276448871498	7.28851671815189	8.41574273019224	8.39303188159855	0
ANKRD49	5.98032645800614	5.59594163065348	0	0	0	0	0	0	0
ANKRD54	5.56091943111708	0	0	0	0	0	0	0	0
ANKRD9	0	0	0	0	0	0	0	0	8.28391301104324
ANLN	0	0	0	0	6.21323922302188	0	0	0	6.44443548612848
ANPEP	6.05889690574895	6.49840331922248	7.29937680458969	6.93797593235033	6.19691790266999	6.543381139709	0	0	0
ANTXR2	6.79977774484151	6.19257308302927	6.47734366194096	0	5.82020641748477	6.7661306715959	0	0	0
ANXA2R	0	0	0	0	0	0	0	6.85271828001196	0
ANXA4	6.54634013464419	5.84279405158912	0	0	0	6.69189359656746	0	0	0
ANXA5	7.49014731072643	5.92023783872682	6.93316005146747	0	6.60872103409805	7.93845341133104	7.1932873685623	0	0
ANXA6	7.81551351356606	6.95243531569365	7.52159442012807	0	7.09805347568326	7.44023580086563	8.07511490755939	8.05467449984067	0
AOAH	0	5.83554362548417	0	0	0	0	0	6.75429784719857	0
AP1B1	5.75780129202462	5.77676163861503	0	0	5.61577993044301	0	6.95445678699582	0	0
AP1G2	6.01847917242845	5.45817505495678	0	0	0	5.85562172414082	0	6.78174268751485	0
AP1M1	6.14595415472159	6.14539268587665	6.17698054440574	0	6.21281238037418	6.09007881846006	0	0	0
AP1S2	6.61195542105978	5.89384601669661	6.87059960810753	0	5.80771692869206	7.43246181357445	6.76909415744119	0	0
AP2A1	6.31385995515469	5.77001681831362	0	0	5.50443243636476	5.63786492697122	0	0	8.34547340805453
AP3M1	5.69737610039492	0	0	0	0	0	0	0	0
AP4S1	5.54578553643398	0	0	0	0	0	0	0	0
AP5B1	0	0	6.50648434319503	0	0	6.73821131754886	0	0	0
AP5M1	5.40711756653435	5.45477789510897	0	0	0	0	0	0	0
AP5Z1	5.63393475562424	0	0	0	0	0	0	0	0
APAF1	5.958668957538	5.86472052050861	0	0	5.66216969481217	7.08634182183731	0	0	0
APBB1IP	7.15731252512848	6.62059106790432	6.31441671580166	0	5.74189122272803	7.68374746905599	6.92326167094763	7.76033388675797	0
APH1B	5.28569055171236	0	0	0	0	0	0	0	0
API5	5.87570185688868	5.70609825994537	0	0	5.95905132796895	0	0	0	7.38599452836054
APOBEC3C	6.20801659520416	5.7833409292062	0	0	5.58667459562879	6.24319546088478	6.34996874238317	0	7.02534041704477
APOBEC3G	5.48019360330001	0	0	0	0	0	0	7.16741514909783	0
APOBR	0	0	0	0	0	6.8213855827766	0	0	0
APOC2	6.92943284759861	8.07888456515848	7.80499414748113	7.9335138716216	7.6224623862261	7.41301519599428	0	0	0
APOL6	5.45161512230085	0	0	0	0	0	0	7.23197377821992	0
APOOL	5.41046008969683	0	0	0	0	0	0	0	0
APP	6.22918088176086	6.26267381990244	0	0	5.93181868437324	0	6.56631299753125	0	0
APPBP2	5.68125889733317	0	0	0	0	0	0	0	0
AQP3	6.79065669120278	6.61248162132599	0	0	5.84287459626011	0	0	0	7.46378694240403
ARAF	5.77049188192052	5.85244624653058	0	0	5.51002416017979	6.49486180624625	0	0	0
ARAP1	5.68288546562912	0	6.23783200824917	0	0	6.87656670590826	0	0	0
ARAP2	0	0	0	0	0	0	0	7.32286493669221	0
AREG	0	0	0	0	0	0	7.58709622545065	7.38338948977837	0
ARF3	7.34032352829212	6.97031721006571	6.86364810346766	0	6.67800606081789	7.49087444094565	0	0	0
ARFGAP3	6.45228837753819	6.482674563336	6.31660993412882	0	6.44073286513103	5.97065687688826	0	0	0
ARFGEF2	0	0	0	0	0	0	0	0	6.53833268285884
ARHGAP1	5.96452331471975	6.20753804958754	6.5347539980083	0	5.95189407283294	6.46487259496559	0	0	0
ARHGAP11A	0	0	0	0	5.99278507121085	0	0	0	6.49874795480329
ARHGAP17	5.2840908061594	0	0	0	0	0	0	0	0
ARHGAP18	6.47496406829686	0	0	0	0	6.74926628939234	0	0	0
ARHGAP21	5.16952492987163	0	0	0	0	5.66333801532164	0	0	0
ARHGAP25	6.4715646889972	5.68959264196712	0	0	0	6.8083781065746	0	0	0
ARHGAP26	5.7059481241068	0	0	0	0	0	0	6.63400495593443	0
ARHGAP27	5.32932605444474	0	0	0	0	0	0	0	0
ARHGAP30	6.94821115285538	6.33831341815036	6.58760393192761	0	5.43549556555927	7.24191966333016	0	7.6528841594632	0
ARHGAP4	0	0	0	0	0	0	6.95052463047292	7.53146908706476	0
ARHGAP45	5.61881037670101	5.93168596701074	6.18363099364431	0	5.57660927822815	6.67973321198968	7.83848057902524	7.87617015243982	0
ARHGAP9	6.06419962365938	5.77521569116526	0	0	0	6.93783337022292	0	7.7456992934059	0
ARHGEF1	6.67237679488226	6.4167745428315	6.75538396335849	0	6.06805765006451	7.15672656576823	7.64793198856213	8.60162754356997	0
ARHGEF18	5.71359434554629	0	0	0	0	0	0	0	0
ARHGEF2	6.66858836061132	6.66410878638472	6.78137136675558	0	6.42606083457202	6.50269623604068	0	0	5.93104938475081
ARHGEF3	0	0	0	0	0	0	0	6.82930419852937	0
ARHGEF40	5.63395106797282	0	0	0	0	5.88153288206816	0	0	0
ARHGEF7	6.32686114439923	6.20236644038203	0	0	5.43956969488007	6.39942979081043	0	0	0
ARID3A	5.84771837987468	5.78717558203101	0	0	5.51670222768767	6.53351113462059	0	0	0
ARID5A	6.66911169424494	6.59951421467167	6.43920156767089	0	6.07945973214653	6.61100785775471	0	7.57790777776982	0
ARID5B	6.02980385526304	0	0	0	0	5.9875080654284	7.47851932453654	7.13664468001429	0
ARIH2	5.83353689420831	6.01564745981943	0	0	5.81161453610388	5.91914165501814	0	7.21161935237884	5.51957070411896
ARL11	5.38701434482712	0	0	0	0	0	0	0	0
ARL14EP	5.3524747809465	0	0	0	0	0	0	0	0
ARL16	6.4752372375364	6.32848806107554	0	0	6.5649636997424	6.04647691248125	6.95486318631189	0	5.97378081998698
ARL2BP	6.63628838085672	6.05730128455348	0	0	5.99897024185492	5.85737331573655	0	6.67990213868488	6.30042648630883
ARL3	5.80430866162139	0	0	0	5.43337895060103	0	0	0	0
ARL4C	0	0	0	0	0	0	0	9.07807452184261	0
ARL5B	5.69980065429742	0	0	0	5.52669385437166	0	0	0	0
ARL8A	5.86431970783626	5.74030499152871	6.29132777036009	0	5.69738798492544	6.54976240106651	0	0	0
ARL8B	6.73457398642381	7.02630286955044	7.32281226966841	7.41128910840701	7.10139392107184	6.94601547089783	6.98417149344963	0	0
ARMC1	5.54170948885437	5.75735191283172	0	0	6.12475250922265	0	0	0	7.35382574599109
ARMC5	5.5534459784262	5.94432819640929	0	0	5.51729128672631	0	0	0	0
ARMC8	5.89019354849512	5.99411490389581	0	0	5.90126518339101	0	0	0	8.3624302967172
ARMCX1	5.62470245746687	5.61709110773404	0	0	0	0	0	0	0
ARMCX6	6.41988902075715	6.14138840469351	6.11774214545679	0	5.98786750508802	6.55657285089533	0	0	0
ARMH3	5.41260940721828	0	0	0	0	0	0	0	0
ARMT1	5.61584285396603	0	0	0	0	0	0	0	0
ARNT	5.37221370628454	0	0	0	0	6.03808421582689	0	0	0
ARRB1	6.36348041825371	6.07960913266611	6.10113270244173	0	5.75288161062696	6.44387129246438	0	0	0
ARRB2	7.49218273299003	7.20885146809519	7.65098201714636	0	7.0772999713965	8.4485046651507	0	7.5624574161349	0
ARRDC1	6.84620200210447	7.01732079509533	7.27799939951227	6.9648783109942	6.72722945253527	6.82592167295882	0	0	0
ARRDC2	0	0	0	0	0	6.0160448212527	0	0	0
ARRDC3	0	0	0	0	0	6.44746518315106	7.37504885270794	7.02964062873105	0
ARSA	5.33201697240945	5.50888746259202	6.40804000657919	0	5.53689200034711	6.18737301860171	0	0	0
ARSD	6.11732027084575	5.98274772288577	6.23547464403907	0	5.61193560670861	6.03474979379688	0	0	0
ARTN	5.49200467115261	0	0	0	0	0	0	0	0
ASAP1	0	0	0	0	0	0	0	0	6.96335072058283
ASB1	0	0	0	0	0	0	0	0	7.20682615912395
ASB3	5.37288142313669	0	0	0	0	0	0	0	0
ASB8	5.93451687106903	5.79423528926626	0	0	0	5.83389487233147	0	0	0
ASCC1	5.1954602720801	0	0	0	0	0	0	0	0
ASCC3	5.7670669941393	6.14619536064206	0	0	6.05735890064749	0	6.83517316331125	0	0
ASF1A	5.68509435523263	5.59143629381864	0	0	0	0	0	0	7.06626043636543
ASF1B	0	0	0	0	5.92475589619041	0	0	0	0
ASH2L	5.46255391822864	0	0	0	5.54872904032563	0	0	0	0
ASNSD1	5.45907285195382	0	0	0	0	0	0	0	0
ASPH	6.92773707984166	6.89537732073958	7.11353328212529	6.91722617339154	7.05291833732249	6.52689102096235	0	0	0
ASPM	0	0	0	0	6.65802425728647	0	0	0	8.15102575953682
ASRGL1	0	0	0	0	6.05166213929763	0	0	0	0
ASXL1	5.9117082379005	6.25210442975037	0	0	6.42896247385551	0	7.37426159085934	7.22375426401784	6.59399955371052
ATAD1	5.79794888951355	5.69587470490562	0	0	0	0	0	0	0
ATAD2	0	0	0	0	7.3675021653518	0	0	0	5.50741143264115
ATAD2B	5.90832776609242	5.61806311965909	0	0	0	5.86120616357374	0	0	0
ATAD3A	0	0	0	0	5.92902277116355	0	0	0	6.65769690716912
ATAD5	0	0	0	0	6.59141825356156	0	0	0	6.39750874758798
ATE1	5.27895311692727	0	0	0	0	0	0	0	0
ATF1	5.14638397256608	0	0	0	0	0	0	0	0
ATF3	7.06072218886661	6.6937471981144	6.42167159113504	0	6.41920613467249	7.02553298328579	0	0	0
ATF7IP	6.45790797654616	6.55808515237082	6.54744023826917	0	6.50169332247314	7.14996407139118	8.15283133889534	7.19947155587768	8.28680705284379
ATG10	5.85372709034805	0	0	0	0	0	0	0	0
ATG101	5.89682837786684	6.0394515424064	6.25247440633189	0	6.04357753882255	6.31155029096412	0	0	0
ATG13	6.19911696092505	6.14990636105231	6.17416513839085	0	5.86578627033756	0	0	0	0
ATG14	0	0	0	0	0	0	0	0	7.00226847433171
ATG2B	0	0	0	0	0	0	0	0	6.57440283545164
ATG4B	5.86809469541375	6.28028883663424	6.50502405565813	0	6.03934699354971	0	0	0	5.6209718455144
ATG4C	5.58790203449359	0	0	0	0	5.70085314266695	0	0	0
ATG4D	5.59313149729089	0	0	0	0	0	0	0	7.69945677587994
ATG9A	0	0	0	0	0	0	0	0	6.84983863992903
ATL2	5.0925950817419	5.55998440664024	0	0	0	0	0	0	0
ATL3	5.7995801175441	6.37108610946034	6.5154785692968	0	6.82521800442858	6.05503898644605	0	0	5.60559691329651
ATM	6.11621026717634	5.65925110527445	0	0	5.5176122022499	6.67756811957857	7.34219282118276	8.64078434442361	6.30108820567966
ATP11A	6.41368257545719	6.33594946763794	6.54010266517459	0	6.11405837921892	6.59972568954981	0	0	0
ATP11B	0	0	0	0	0	5.90691289329325	0	0	7.3334634238428
ATP13A3	0	5.9961625524161	0	0	6.19143645003612	0	0	0	6.24901526972516
ATP1A1	6.31009391568113	6.61677897115562	6.50961753898398	0	6.69321991198754	6.48084605948564	0	7.39345548774598	7.45714899574081
ATP1B1	7.31274689138249	6.79096868886004	6.30597127503905	0	6.22813452356424	7.19011834587046	0	0	0
ATP23	0	0	0	0	5.74526861416814	0	0	0	0
ATP2A2	6.38077584974583	6.58151852664619	6.63138949991305	7.17218963179191	6.82517660057956	6.17090709133456	0	0	6.29518884428957
ATP2C1	7.0145839563129	6.77786448307405	6.71993292280689	7.07227261371918	6.56570598214919	6.17983001948221	0	0	6.50496265701577
ATP6V0A2	5.28408956538129	0	0	0	0	0	0	0	0
ATP6V1C1	0	0	0	0	0	0	0	0	7.75395171595977
ATP6V1E1	6.57401353527916	6.48571067178725	6.66620204910558	0	6.56970932353599	6.76660969991736	0	0	5.32363444933847
ATP8A1	0	0	0	0	0	0	0	7.23199060875642	0
ATP8B4	6.96730045701358	7.28685668695329	7.76532890103519	7.86066513459445	6.98411664319377	7.47968460660953	0	0	0
ATPAF1	0	0	0	0	0	0	0	0	7.11240352582651
ATR	5.71352905442091	5.83850087379063	0	0	5.63512351528843	0	6.36708797048797	0	0
ATXN1	5.6275734776517	5.57097999464728	6.36952055756134	0	5.45582445002761	0	0	0	0
ATXN3	5.90031278730419	5.65775021173518	0	0	0	6.15222101372085	0	0	0
ATXN7	5.79833635043034	6.11284192739509	0	0	5.71088574478813	6.05922785416611	0	6.82432857604886	5.62760279453682
AURKB	0	0	0	0	6.43046525136437	0	0	0	0
AUTS2	5.60677679293459	5.78552443105517	0	0	5.52285114201088	0	0	0	0
AVL9	5.58591193059563	0	0	0	0	0	0	0	0
AZI2	6.30038507331987	7.26214887713082	7.79947726632771	7.87288121422903	7.1729096791587	7.14017868059678	0	0	6.71602619531516
B3GALT6	0	5.56023272974249	0	0	5.40833449955233	0	0	0	0
B3GNTL1	6.2358260137345	6.48278742526973	6.208061345934	0	6.21753328992057	0	0	0	0
B4GALT1	6.13584531996401	5.8930554604994	0	0	5.723873325381	7.08441231491783	7.45515267253721	6.61215018520099	5.30200983276684
B4GALT5	5.34192435531578	5.98748603297861	6.9348494280619	0	6.24385050859529	0	0	0	7.48105452773257
B4GALT7	5.39077435898281	5.69735402480027	0	0	5.62569988449435	0	0	0	0
B9D2	5.39710958327595	0	0	0	0	0	0	0	0
BACH1	6.37042900398587	6.4043080201679	6.59550185737355	0	6.25018362236364	7.10124408794641	7.45035772608578	0	0
BAD	6.15974649756496	6.10769566157879	6.28338347832623	0	6.32201220849766	5.91398835816013	0	0	0
BAG4	5.56982095329673	0	0	0	0	0	0	0	0
BAHCC1	5.99291929667112	6.36772731591885	0	0	5.99516591008907	0	0	0	0
BAIAP2	5.59853371938608	0	0	0	0	0	0	0	0
BAK1	5.77156398332229	0	0	0	0	0	0	0	0
BANK1	0	0	0	0	0	0	9.01996908992008	0	0
BARD1	0	0	0	0	6.17298162061903	0	0	0	6.91568698913
BASP1	0	5.82584667582263	7.31716120213476	6.99497384982185	6.04001269526025	7.41429651244565	8.06096383945539	0	0
BAZ2B	7.12713197496046	7.14734086359685	6.98055745700479	7.09907011882201	6.55338453836366	7.65707283913218	0	0	0
BBX	6.23867343355834	6.0320857760808	0	0	5.54404238914265	0	7.24988214756127	7.45645806237477	0
BCAT1	6.28083820782692	5.61342107593969	0	0	0	5.80620821734833	0	0	0
BCAT2	5.29624268678642	0	0	0	0	0	0	0	0
BCKDHA	6.23451600355521	6.24310077967352	6.04812315168201	0	5.79911023888573	6.0951327256052	0	0	0
BCKDHB	5.62085185073756	0	0	0	0	0	0	0	0
BCL10	5.77852027638872	5.46625865329893	0	0	0	6.27590240177221	0	0	0
BCL11B	0	0	0	0	0	0	0	8.72628654634749	0
BCL2	6.54182058135012	6.7942855268244	6.56152256203814	7.02436684556989	6.45867627707919	5.88161271438262	8.03703226707252	7.04023563461238	0
BCL2A1	0	0	0	0	0	7.70316191292874	6.89883037491721	0	0
BCL2L1	5.87212831503203	0	0	0	0	0	0	0	8.9963856384823
BCL2L10	5.55574569082759	0	0	0	0	0	0	0	0
BCL2L11	0	0	0	0	0	0	6.60164452660692	0	6.93338440334993
BCL6	0	0	0	0	0	6.11401432460154	0	0	0
BCL7A	5.46326973471286	0	0	0	0	0	7.06486709412938	0	5.7068557804877
BCL7B	6.06211886743858	6.22314716536774	6.40880106175829	0	6.41402546969123	6.36386983084929	0	6.968779665106	0
BCR	5.92606618838465	6.15476655659545	0	0	5.82816048358292	0	0	0	0
BCS1L	0	5.3086538019006	0	0	0	0	0	0	5.13822046286781
BDH1	5.46637956408217	0	0	0	5.86116581002632	0	0	0	0
BECN1	6.26113440396626	6.26473652835846	6.29130567313018	0	5.95170194287214	6.33929625746441	0	0	0
BET1L	5.73702513960918	0	0	0	0	0	0	0	0
BEX3	6.98813244708377	6.88999482819609	0	0	7.1405801958337	0	0	0	6.9788676885132
BFAR	6.76726381421544	6.46782224177351	0	0	6.29494417767004	6.20794810867449	0	6.66716823634567	4.98164758656886
BHLHE40	0	0	0	0	0	0	0	7.41774527881246	0
BICD2	5.81798440336123	5.79731974819427	0	0	0	6.49699655501799	7.14498751269828	0	0
BID	6.73793654297509	7.06344105238342	6.82489777534052	0	6.98053818418658	7.01494737189504	0	0	6.17388584245205
BIK	7.45076606811544	6.96273828736129	0	0	6.44959935118554	0	0	0	6.64651213901883
BIN1	6.53830720499114	0	0	0	0	0	0	7.33032704309015	0
BIN2	7.01783861029986	6.35431101493513	6.98129683717006	0	5.64136279728923	7.50771380734727	0	8.28436198874248	0
BIRC3	0	0	0	0	0	0	8.85767123254666	6.74072450040023	0
BIRC5	0	0	0	0	7.3652249095401	0	0	0	7.27826659599562
BLCAP	5.53309567772011	5.34989246945861	0	0	0	0	0	0	0
BLM	0	0	0	0	5.95375236581637	0	0	0	0
BLOC1S4	5.35465887892602	5.45572166803234	0	0	0	0	0	0	0
BLVRA	0	0	0	0	0	0	0	0	6.63389027026151
BLVRB	6.88296093040183	7.09591817564499	7.60199093334857	7.07716753179294	7.28918356725261	7.88665978741934	0	0	10.8957919558912
BMP2K	5.36952122287548	0	0	0	5.3205034099086	5.89990559257758	0	0	9.07288533291432
BNIP3	6.6853877738399	6.35798446067647	6.18412371797096	0	6.16230418574138	5.68083151231475	0	0	0
BOLA2	6.20147728796174	5.93946850655294	0	0	6.43766355593895	0	0	0	0
BOLA2B	0	0	0	0	5.84704164078627	0	0	0	0
BOLA3	5.98460544226546	5.89979308001626	0	0	6.76054879217332	0	0	0	8.13085927583244
BORCS7	6.9543423475307	6.69749430797715	6.63640807611639	0	6.33438816644674	6.65837882249598	0	6.5999388719184	0
BORCS8	5.66128848793654	0	0	0	0	0	0	0	0
